Date,Open,High,Low,Close,Adj Close,Volume
2022-07-18,1176.040039,1189.089966,1176.040039,1184.660034,1184.660034,149129200
2022-07-19,1180.660034,1205.449951,1175.239990,1203.319946,1203.319946,217275000
2022-07-20,1206.479980,1210.030029,1196.540039,1205.390015,1205.390015,184482300
2022-07-21,1202.510010,1213.770020,1198.670044,1208.939941,1208.939941,198044700
2022-07-22,1206.880005,1218.819946,1205.130005,1211.430054,1211.430054,172388400
2022-07-25,1207.829956,1217.270020,1203.089966,1215.640015,1215.640015,164340400
2022-07-26,1217.260010,1221.369995,1211.680054,1213.479980,1213.479980,166490400
2022-07-27,1216.869995,1227.589966,1216.160034,1224.699951,1224.699951,176851600
2022-07-28,1233.829956,1239.699951,1224.349976,1239.579956,1239.579956,223501300
2022-07-29,1247.069946,1259.060059,1244.800049,1255.150024,1255.150024,246550400
2022-08-01,1254.000000,1260.530029,1250.260010,1252.069946,1252.069946,160744700
2022-08-02,1249.449951,1249.829956,1240.369995,1247.349976,1247.349976,167343300
2022-08-03,1248.060059,1261.459961,1247.119995,1261.250000,1261.250000,180895800
2022-08-04,1260.880005,1271.859985,1259.199951,1262.020020,1262.020020,179559500
2022-08-05,1261.420044,1262.880005,1248.479980,1253.890015,1253.890015,172130100
2022-08-08,1261.969971,1270.719971,1259.069946,1263.550049,1263.550049,140699500
2022-08-09,1261.560059,1263.459961,1253.739990,1254.719971,1254.719971,148173900
2022-08-10,1248.359985,1265.910034,1247.150024,1262.160034,1262.160034,168843200
2022-08-11,1269.650024,1270.709961,1262.939941,1268.339966,1268.339966,174650100
2022-08-12,1267.829956,1274.430054,1265.640015,1269.099976,1269.099976,157914000
2022-08-15,1274.780029,1275.829956,1262.959961,1272.119995,1272.119995,116206800
2022-08-16,1274.939941,1279.390015,1272.589966,1276.569946,1276.569946,149424800
2022-08-17,1279.349976,1279.349976,1264.790039,1265.930054,1265.930054,151704800
2022-08-18,1264.040039,1271.699951,1262.449951,1271.349976,1271.349976,160105600
2022-08-19,1265.170044,1270.829956,1259.780029,1261.050049,1261.050049,168273900
2022-08-22,1252.910034,1255.369995,1239.160034,1243.369995,1243.369995,174676600
2022-08-23,1236.449951,1248.869995,1236.449951,1245.260010,1245.260010,151271000
2022-08-24,1240.800049,1252.640015,1237.660034,1251.040039,1251.040039,139981400
2022-08-25,1259.520020,1262.469971,1249.640015,1254.119995,1254.119995,132378000
2022-08-26,1258.859985,1262.400024,1231.920044,1234.989990,1234.989990,163885800
2022-08-29,1220.760010,1226.329956,1212.359985,1223.170044,1223.170044,143325500
2022-08-30,1226.670044,1236.170044,1208.290039,1212.680054,1212.680054,166162800
2022-08-31,1218.359985,1219.270020,1196.270020,1196.280029,1196.280029,265860700
2022-09-01,1185.099976,1185.099976,1176.569946,1176.569946,1176.569946,173537900
2022-09-02,1184.930054,1200.569946,1178.540039,1198.920044,1198.920044,176788400
2022-09-05,1181.300049,1193.310059,1176.810059,1191.560059,1191.560059,151231600
2022-09-06,1189.020020,1197.119995,1180.050049,1188.380005,1188.380005,142010200
2022-09-07,1178.060059,1185.469971,1173.579956,1183.199951,1183.199951,179855100
2022-09-08,1188.660034,1190.790039,1171.630005,1187.989990,1187.989990,175422500
2022-09-09,1191.109985,1209.869995,1191.069946,1205.380005,1205.380005,168859700
2022-09-12,1209.339966,1229.479980,1208.020020,1225.790039,1225.790039,179753900
2022-09-13,1229.310059,1237.069946,1207.589966,1207.589966,1207.589966,199759600
2022-09-14,1199.670044,1208.150024,1194.699951,1202.890015,1202.890015,196669000
2022-09-15,1201.510010,1208.640015,1188.589966,1191.229980,1191.229980,199407100
2022-09-16,1180.069946,1182.010010,1172.680054,1174.869995,1174.869995,403282000
2022-09-19,1169.359985,1179.239990,1157.770020,1174.170044,1174.170044,128762500
2022-09-20,1178.869995,1185.699951,1159.550049,1161.099976,1161.099976,183002900
2022-09-21,1155.420044,1172.630005,1153.729980,1171.689941,1171.689941,166497500
2022-09-22,1153.150024,1170.739990,1151.400024,1151.540039,1151.540039,166265200
2022-09-23,1148.010010,1148.589966,1118.459961,1119.800049,1119.800049,219848100
2022-09-26,1112.670044,1129.449951,1112.089966,1119.099976,1119.099976,191684100
2022-09-27,1126.060059,1135.339966,1119.660034,1119.800049,1119.800049,198953100
2022-09-28,1109.859985,1121.000000,1097.079956,1119.300049,1119.300049,243540500
2022-09-29,1110.790039,1110.880005,1093.430054,1101.229980,1101.229980,234428600
2022-09-30,1108.130005,1116.209961,1103.099976,1113.979980,1113.979980,240388400
2022-10-03,1103.420044,1125.920044,1098.300049,1124.300049,1124.300049,190759300
2022-10-04,1136.930054,1167.719971,1136.810059,1167.540039,1167.540039,216359100
2022-10-05,1161.500000,1166.270020,1151.349976,1156.859985,1156.859985,179000800
2022-10-06,1160.939941,1164.189941,1146.319946,1149.930054,1149.930054,165554700
2022-10-07,1149.390015,1150.880005,1132.400024,1133.209961,1133.209961,161653800
2022-10-10,1131.640015,1136.459961,1119.810059,1126.000000,1126.000000,149725300
2022-10-11,1125.260010,1125.260010,1109.910034,1119.719971,1119.719971,174117400
2022-10-12,1119.550049,1125.430054,1108.829956,1114.089966,1114.089966,183673400
2022-10-13,1111.369995,1127.319946,1091.439941,1124.250000,1124.250000,211839900
2022-10-14,1126.300049,1149.849976,1126.300049,1127.810059,1127.810059,200641200
2022-10-17,1128.510010,1151.439941,1125.060059,1147.229980,1147.229980,153535100
2022-10-18,1148.510010,1164.760010,1148.510010,1150.949951,1150.949951,172611500
2022-10-19,1150.520020,1158.630005,1145.390015,1148.260010,1148.260010,164799900
2022-10-20,1147.380005,1160.859985,1144.170044,1158.800049,1158.800049,164823500
2022-10-21,1156.189941,1158.229980,1137.500000,1154.109985,1154.109985,201904100
2022-10-24,1156.550049,1171.280029,1149.130005,1163.800049,1163.800049,191709300
2022-10-25,1165.589966,1184.760010,1163.810059,1184.599976,1184.599976,186168500
2022-10-26,1184.319946,1190.489990,1174.079956,1189.319946,1189.319946,193305000
2022-10-27,1188.930054,1195.910034,1180.880005,1191.260010,1191.260010,235527500
2022-10-28,1188.000000,1192.810059,1177.280029,1191.979980,1191.979980,183884500
2022-10-31,1192.170044,1198.520020,1188.359985,1194.140015,1194.140015,169960100
2022-11-01,1196.199951,1214.619995,1196.199951,1205.290039,1205.290039,157396800
2022-11-02,1205.180054,1212.770020,1193.430054,1194.229980,1194.229980,175448100
2022-11-03,1193.280029,1193.280029,1176.300049,1186.329956,1186.329956,190038400
2022-11-04,1187.219971,1224.550049,1187.219971,1216.199951,1216.199951,220940600
2022-11-07,1215.560059,1223.069946,1207.489990,1219.180054,1219.180054,171971200
2022-11-08,1218.170044,1224.890015,1212.550049,1223.900024,1223.900024,167464000
2022-11-09,1223.410034,1223.410034,1212.400024,1216.920044,1216.920044,165422600
2022-11-10,1215.599976,1246.979980,1207.319946,1245.750000,1245.750000,252837500
2022-11-11,1251.280029,1260.800049,1251.280029,1254.900024,1254.900024,238328600
2022-11-14,1255.949951,1265.189941,1255.270020,1257.380005,1257.380005,181095900
2022-11-15,1257.020020,1272.420044,1257.020020,1266.760010,1266.760010,185261800
2022-11-16,1266.599976,1268.550049,1254.180054,1256.979980,1256.979980,192078100
2022-11-17,1257.439941,1260.750000,1241.119995,1251.619995,1251.619995,161838000
2022-11-18,1253.209961,1267.050049,1253.209961,1260.099976,1260.099976,194233300
